Content ID,FeatureID (from Feature List),Content Name (from Call Flow),ContentID,Unit number,Question number,Message Text (English) [DRAFT],Message Text (French),Question/Comment,Reviewed by?,Recorded?,Filename (should be same as ContentID),Audio split? (if necessary),Directory of audio file,Audio matched to lookup key?
,3,LocalLanguage,LocalLanguageOptions_Dioula,,,"This system is designed to help your child learn the basics of learning to read in French. Make sure they call the number every day with the phone we gave them, to receive new lessons. If you know someone who speaks French, they can call this number to learn more about how to to help your child learn with our system.","Ce système est conçu pour aider votre enfant à apprendre les rudiments d'apprendre à lire en français. Assurez-vous qu'ils appellent le numéro tous les jours avec le téléphone que nous leur avons donné, pour recevoir de nouvelles leçons. Si vous connaissez quelqu'un qui parle français, ils peuvent appeler ce numéro pour en savoir plus sur la façon de pour aider votre enfant à apprendre avec notre système.",Anything else here?,,,LocalLanguageOptions_Dioula,,,
,3,LocalLanguage,LocalLanguageOptions_Baoule,,,"This system is designed to help your child learn the basics of learning to read in French. Make sure they call the number every day with the phone we gave them, to receive new lessons. If you know someone who speaks French, they can call this number to learn more about how to to help your child learn with our system.","Ce système est conçu pour aider votre enfant à apprendre les rudiments d'apprendre à lire en français. Assurez-vous qu'ils appellent le numéro tous les jours avec le téléphone que nous leur avons donné, pour recevoir de nouvelles leçons. Si vous connaissez quelqu'un qui parle français, ils peuvent appeler ce numéro pour en savoir plus sur la façon de pour aider votre enfant à apprendre avec notre système.",Anything else here?,,,LocalLanguageOptions_Baoule,,,
,4-7,InfoOptions,InfoOptions,,,"Press 1 to hear more about what this study is about, how to use this system, and why this is important, or press 9 to return to the previous menu","Appuyez sur 1 pour en savoir plus sur ce que cette étude est sur le point, comment utiliser ce système, et pourquoi cela est important, ou appuyez sur 9 pour revenir au menu précédent",,,,InfoOptions,,,
,6-7,PhonologyInfo,PhonologyInfo,,,"If you want to learn to read, the foundation is understanding the sounds that make words. This system will help children understand the sounds, or ""phonology"" first, and then associate those sounds with letters and words.","Si vous voulez apprendre à lire, la base est la compréhension des sons qui font des mots. Ce système aidera les enfants à comprendre les sons, ou « phonologie » d'abord, puis associer ces sons avec des lettres et des mots.","After each one - continue automatically, or.... press 1 to continue, press 2 to repeat, or press 3 to return to the previous menu ??",,,PhonologyInfo,,,
,4,StudyInfo,StudyInfo,,,"Like other skills, reading takes practice in order to get it right. We hope your child will call in for 5 days a week, every week until the end of the school year.  This will help them reinforce and practice the skills they need for reading.","Comme d'autres compétences, la lecture prend la pratique pour y arriver. Nous espérons que votre enfant appellera pendant 5 jours par semaine, chaque semaine jusqu'à la fin de l'année scolaire. Cela les aidera à renforcer et mettre en pratique les compétences dont ils ont besoin pour la lecture.","After each one - continue automatically, or.... press 1 to continue, press 2 to repeat, or press 3 to return to the previous menu ??",,,StudyInfo,,,
,5,SystemInfo,SystemInfo,,," We gave your child a phone so they can call the number for our system and receive lessons to practice building their reading skills. For some of these lessons, they need to listen to a voice message, think about the options, and press a number that corresponds to the right answer. For others, they will receive an SMS with answer choices, and they choose the number of the correct answer.  Every time they answer a question, the system knows what kind of question to give them next, to make sure it's at the appropriate level of difficulty for your child. Calling our number to receive lessons is free, but don't use the phone to call other numbers. "," Nous avons donné à votre enfant un téléphone afin qu'ils puissent appeler le numéro de notre système et de recevoir des leçons à pratiquer le renforcement de leurs compétences en lecture. Pour certaines de ces leçons, ils ont besoin d'écouter un message vocal, pensez à les options et appuyez sur un numéro qui correspond à la bonne réponse. Pour d'autres, ils recevront un SMS avec choix de réponses, et ils choisissent le nombre de la bonne réponse. Chaque fois qu'ils répondent à une question, le système sait quel genre de question pour leur donner ensuite, pour vous assurer qu'il est au niveau de difficulté approprié pour votre enfant. Appelant notre numéro pour recevoir des leçons est gratuit, mais ne pas utiliser le téléphone pour appeler d'autres numéros.","After each one - continue automatically, or.... press 1 to continue, press 2 to repeat, or press 3 to return to the previous menu ??. Too long?",,,SystemInfo,,,
,"8, 10",ProgressOptions,ProgressOptions,,,Press 1 to hear about how your child has been using the system. Press 2 to hear about their progress on the lessons.,Appuyez sur 1 pour entendre sur la façon dont votre enfant a utilisé le système. Appuyez sur 2 pour entendre parler de leurs progrès sur les cours.,,,,ProgressOptions,,,
,8,UsageUpdate,UsageUpdate_1,,,Your child has been calling in very consistently recently! Nice job! Let them know to keep up the great work!,Votre enfant a appelé en très récemment toujours! Bon travail! Faites-leur savoir à maintenir le bon travail!,Based on what time window for calling? Based on what threshold?,,,UsageUpdate_1,,,
,8,UsageUpdate,UsageUpdate_2,,,"Your child has had some gaps in calling in recently. Try to find out why they haven't called in lately, and remind them that if they call in every day, they'll learn the most!","Votre enfant a eu des lacunes dans l'appel récemment. Essayez de savoir pourquoi ils ont pas appelé ces derniers temps, et leur rappeler que si elles appellent tous les jours, ils apprendront le plus!",Based on what time window for calling? Based on what threshold?,,,UsageUpdate_2,,,
,11,UnitAdvancementUpdate,UnitAdvancementUpdate_1,,,"Your child advanced from unit 1 to unit 2! Congratulations! Next time you see them, let them know, and encourage them to keep up the good work!","Votre enfant avancé de l'unité 1 à l'unité 2! Toutes nos félicitations! La prochaine fois que vous les voyez, faites-leur savoir, et les encourager à maintenir le bon travail!",,,,UnitAdvancementUpdate_1,,,
,11,UnitAdvancementUpdate,UnitAdvancementUpdate_2,,,"Your child advanced from unit 2 to unit 3! Congratulations! Next time you see them, let them know, and encourage them to keep up the good work!","Votre enfant avancé de l'unité 2 à l'unité 3! Toutes nos félicitations! La prochaine fois que vous les voyez, faites-leur savoir, et les encourager à maintenir le bon travail!",,,,UnitAdvancementUpdate_2,,,
,11,UnitAdvancementUpdate,UnitAdvancementUpdate_3,,,"Your child advanced from unit 3 to unit 4! Congratulations! Next time you see them, let them know, and encourage them to keep up the good work!","Votre enfant avancé de l'unité 3 à l'unité 4! Toutes nos félicitations! La prochaine fois que vous les voyez, faites-leur savoir, et les encourager à maintenir le bon travail!",,,,UnitAdvancementUpdate_3,,,
,11,UnitAdvancementUpdate,UnitAdvancementUpdate_4,,,"Your child advanced from unit 4 to unit 5! Congratulations! Next time you see them, let them know, and encourage them to keep up the good work!","Votre enfant avancé de l'unité 4 à l'unité 5! Toutes nos félicitations! La prochaine fois que vous les voyez, faites-leur savoir, et les encourager à maintenir le bon travail!",,,,UnitAdvancementUpdate_4,,,
,11,UnitAdvancementUpdate,UnitAdvancementUpdate_5,,,"Your child advanced from unit 5 to unit 6! Congratulations! Next time you see them, let them know, and encourage them to keep up the good work!","Votre enfant avancé de l'unité 5 à l'unité 6! Toutes nos félicitations! La prochaine fois que vous les voyez, faites-leur savoir, et les encourager à maintenir le bon travail!",,,,UnitAdvancementUpdate_5,,,
,11,UnitAdvancementUpdate,UnitAdvancementUpdate_6,,,"Your child advanced from unit 6 to unit 7! Congratulations! Next time you see them, let them know, and encourage them to keep up the good work!","Votre enfant avancé de l'unité 6 à l'unité 7! Toutes nos félicitations! La prochaine fois que vous les voyez, faites-leur savoir, et les encourager à maintenir le bon travail!",,,,UnitAdvancementUpdate_6,,,
,11,UnitAdvancementUpdate,UnitAdvancementUpdate_7,,,"Your child advanced from unit 7 to unit 8! Congratulations! Next time you see them, let them know, and encourage them to keep up the good work!","Votre enfant avancé de l'unité 7 à l'unité 8! Toutes nos félicitations! La prochaine fois que vous les voyez, faites-leur savoir, et les encourager à maintenir le bon travail!",,,,UnitAdvancementUpdate_7,,,
,11,UnitAdvancementUpdate,UnitAdvancementUpdate_8,,,"Your child completed unit 8! Congratulations! They're finished with the whole curriculum! Next time you see them, let them know how you feel! They can continue calling in if they want to get extra practice and learn even more!","Votre unité enfant a terminé 8! Toutes nos félicitations! Ils ont terminé avec tout le programme! La prochaine fois que vous les voyez, faites-leur savoir comment vous vous sentez! Ils peuvent continuer à appeler s'ils veulent obtenir plus de pratique et d'apprendre encore plus!",,,,UnitAdvancementUpdate_8,,,
,10,PerformanceUpdate,PerformanceUpdate_1,,,Your child is doing well! Let them know to keep up the good work.,Votre enfant se porte bien! Faites-leur savoir de maintenir le bon travail.,What threshold for performance? In what window?,,,PerformanceUpdate_1,,,
,10,PerformanceUpdate,PerformanceUpdate_2,,,"Your child had some trouble with the lessons on the last call. Let them know not to get frustrated and keep trying! They might need your help! If you (or someone else in your family) wants to help, return to the main menu and choose the lesson support option to hear some ways you can help them with the lessons they're struggling with. Press 1 to return to the previous menu, press 2 to hear what your child needs help with, or press 9 to return to the main menu.","Votre enfant a eu des problèmes avec les leçons du dernier appel. Dites-leur de ne pas obtenir frustré et continuer à essayer! Ils pourraient avoir besoin de votre aide! Si vous (ou quelqu'un d'autre dans votre famille) veut aider, revenir au menu principal et choisissez l'option de support de leçon à entendre quelques façons dont vous pouvez les aider avec les leçons qu'ils sont aux prises avec. Appuyez sur 1 pour revenir au menu précédent, appuyez sur 2 pour entendre ce que votre enfant a besoin d'aide avec, ou appuyez sur 9 pour revenir au menu principal.",What threshold for performance? In what window? Too long... needs wordsmithing,,,PerformanceUpdate_2,,,
,---,MenuReturn,MenuReturn,,,"Press 1 to return to the previous menu, or press 9 to return to the main menu",Appuyez sur 1 pour revenir au menu précédent ou appuyez sur 9 pour revenir au menu principal,,,,MenuReturn,,,
,14-17,LessonSupportOptions,LessonSupportOptions,,,"Press 1 to hear examples of the types of lessons your child is working on in this unit, or press 2 to hear which types of lessons your child is struggling with, and how you can help.","Appuyez sur 1 pour entendre des exemples des types de cours de votre enfant travaille dans cet appareil, ou sur 2 pour entendre quels types de leçons de votre enfant est aux prises avec, et comment vous pouvez aider.",,,,LessonSupportOptions,,,
,17,SupportSuggestions,SupportSuggestion_1,,,Try asking your child what they're learning! Can you think of ways to ask your child about letters and word sounds in your everyday life?,Essayez de demander à votre enfant ce qu'ils apprennent! Pouvez-vous penser à des façons de demander à votre enfant de lettres et vocables dans votre vie quotidienne?,When would this be used? How specific should we be?,,,SupportSuggestion_1,,,
,17,SupportSuggestions,SupportSuggestion_2,,,"At your next meal, try asking your child to name other words that start with the same sound as the food they're eating. Ask them if they can spell the words!","A votre prochain repas, essayez de demander à votre enfant de nommer d'autres mots qui commencent par le même son que la nourriture qu'ils mangent. Demandez-leur si elles peuvent épeler les mots!",When would this be used? How specific should we be?,,,SupportSuggestion_2,,,
,15,UnitSummary,UnitSummary_Unit1,,,"In this unit, your child is working on lessons about the sounds of words.","Dans cette unité, votre enfant travaille sur les leçons sur les sons des mots.",,,,UnitSummary_Unit1,,,
,15,UnitSummary,UnitSummary_Unit2,,,"In this unit, your child is working on lessons about the sounds of word parts, called syllables.","Dans cette unité, votre enfant travaille sur les leçons sur les sons des parties de mots, syllabes appelées.",,,,UnitSummary_Unit2,,,
,15,UnitSummary,UnitSummary_Unit3,,,"In this unit, your child is working on lessons about the sounds at the beginnings and ends of words and syllables","Dans cette unité, votre enfant travaille sur les leçons sur les sons au début et la fin des mots et des syllabes",,,,UnitSummary_Unit3,,,
,15,UnitSummary,UnitSummary_Unit4,,,"In this unit, your child is working on lessons to understand the relationship between sounds and written letters","Dans cette unité, votre enfant travaille sur les leçons à comprendre la relation entre les sons et les lettres",,,,UnitSummary_Unit4,,,
,15,UnitSummary,UnitSummary_Unit5,,,"In this unit, your child is working on lessons to understand the relationship between more complex sounds and written letters","Dans cette unité, votre enfant travaille sur les leçons à comprendre la relation entre les sons plus complexes et lettres",,,,UnitSummary_Unit5,,,
,15,UnitSummary,UnitSummary_Unit6,,,"In this unit, your child is working on lessons to understand how to combine letters to make words","Dans cette unité, votre enfant travaille sur les leçons à comprendre comment combiner des lettres pour faire des mots",,,,UnitSummary_Unit6,,,
,15,UnitSummary,UnitSummary_Unit7,,,"In this unit, your child is working on lessons to understand how to combine the sounds of letters to make words","Dans cette unité, votre enfant travaille sur les leçons à comprendre comment combiner les sons des lettres pour faire des mots",,,,UnitSummary_Unit7,,,
,15,UnitSummary,UnitSummary_Unit8,,,"In this unit, your child is working on lessons to understand how to combine letters with more complex sounds to make words","Dans cette unité, votre enfant travaille sur les leçons à comprendre comment combiner des lettres avec des sons plus complexes pour faire des mots",,,,UnitSummary_Unit8,,,
,,QuestionExamples,QuestionExamples,,,,,"Is this just randomly selected questions of the question_types in this unit? How should we choose which question types to give examples of? Should parents hear the response options too? (yes) Should they be able to respond? (probably?) Should we have custom feedback messages, or use the same ones as for the child? Should we track parents' performance too? (not to use it to determine anything, but for future analyses?)",,,QuestionExamples,,,
,16,QuestionSummary,QuestionSummary_1_1,1,1,"In this unit, your child is struggling the most with identifying the sound at the end of words","Dans cette unité, votre enfant est en difficulté le plus à identifier le son à la fin des mots",,,,QuestionSummary_1_1,,,
,16,QuestionSummary,QuestionSummary_2_2,2,2,"In this unit, your child is struggling the most with identifying the sound at the end of other sounds","Dans cette unité, votre enfant est en difficulté le plus à identifier le son à la fin des autres sons",,,,QuestionSummary_2_2,,,
,16,QuestionSummary,QuestionSummary_1_3,1,3,"In this unit, your child is struggling the most with choosing the word that doesn't belong","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui ne fait pas partie",,,,QuestionSummary_1_3,,,
,16,QuestionSummary,QuestionSummary_2_4,2,4,"In this unit, your child is struggling the most with choosing the sound that doesn't belong","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qui ne fait pas partie",,,,QuestionSummary_2_4,,,
,16,QuestionSummary,QuestionSummary_1_5,1,5,"In this unit, your child is struggling the most with choosing whether two words rhyme or not","Dans cette unité, votre enfant est en difficulté le plus à choisir si deux mots riment ou non",,,,QuestionSummary_1_5,,,
,16,QuestionSummary,QuestionSummary_2_6,2,6,"In this unit, your child is struggling the most with choosing whether two sounds rhyme or not","Dans cette unité, votre enfant est en difficulté le plus à choisir si deux sons riment ou non",,,,QuestionSummary_2_6,,,
,16,QuestionSummary,QuestionSummary_1_7,1,7,"In this unit, your child is struggling the most with choosing which pair of words rhymes","Dans cette unité, votre enfant a du mal le plus à choisir la paire de rimes mots",,,,QuestionSummary_1_7,,,
,16,QuestionSummary,QuestionSummary_2_8,2,8,"In this unit, your child is struggling the most with choosing which pair of sounds rhymes","Dans cette unité, votre enfant a du mal le plus à choisir la paire de rimes sons",,,,QuestionSummary_2_8,,,
,16,QuestionSummary,QuestionSummary_3_1,3,1,"In this unit, your child is struggling the most with choosing the word with a different sound at the beginning","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot avec un son différent au début",,,,QuestionSummary_3_1,,,
,16,QuestionSummary,QuestionSummary_3_2,3,2,"In this unit, your child is struggling the most with choosing the syllable with a different sound at the beginning","Dans cette unité, votre enfant est en difficulté le plus à choisir la syllabe avec un son différent au début",,,,QuestionSummary_3_2,,,
,16,QuestionSummary,QuestionSummary_3_3,3,3,"In this unit, your child is struggling the most with choosing the sound at the beginning of a word","Dans cette unité, votre enfant est en difficulté le plus à choisir le son au début d'un mot",,,,QuestionSummary_3_3,,,
,16,QuestionSummary,QuestionSummary_3_4,3,4,"In this unit, your child is struggling the most with choosing the sound at the beginning of another sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le son au début d'un autre son",,,,QuestionSummary_3_4,,,
,16,QuestionSummary,QuestionSummary_3_5,3,5,"In this unit, your child is struggling the most with choosing the sound at the end of a word","Dans cette unité, votre enfant est en difficulté le plus à choisir le son à la fin d'un mot",,,,QuestionSummary_3_5,,,
,16,QuestionSummary,QuestionSummary_3_6,3,6,"In this unit, your child is struggling the most with choosing the sound at the end of another sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le son à la fin d'un autre son",,,,QuestionSummary_3_6,,,
,16,QuestionSummary,QuestionSummary_4_1,4,1,"In this unit, your child is struggling the most with choosing the word that starts with a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui commence par un certain son",,,,QuestionSummary_4_1,,,
,16,QuestionSummary,QuestionSummary_4_2,4,2,"In this unit, your child is struggling the most with choosing what sound a certain letter makes","Dans cette unité, votre enfant est en difficulté le plus à choisir quel son d'une certaine lettre fait",,,,QuestionSummary_4_2,,,
,16,QuestionSummary,QuestionSummary_4_3,4,3,"In this unit, your child is struggling the most with naming the sound that two letters make when combined","Dans cette unité, votre enfant a du mal le plus de nommer le son que deux lettres font en combinaison",,,,QuestionSummary_4_3,,,
,16,QuestionSummary,QuestionSummary_4_6,4,6,"In this unit, your child is struggling the most with choosing the pair of letters that make a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir la paire de lettres qui font un certain bruit",,,,QuestionSummary_4_6,,,
,16,QuestionSummary,QuestionSummary_4_7,4,7,"In this unit, your child is struggling the most with choosing the letter that corresponds to a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir la lettre qui correspond à un certain son",,,,QuestionSummary_4_7,,,
,16,QuestionSummary,QuestionSummary_4_8,4,8,"In this unit, your child is struggling the most with choosing the group of letters that doesn't contain a certain sound","Dans cette unité, votre enfant est en difficulté le plus avec le choix du groupe de lettres qui ne contient pas un certain son",,,,QuestionSummary_4_8,,,
,16,QuestionSummary,QuestionSummary_4_9,4,9,"In this unit, your child is struggling the most with choosing the word that doesn't contain a certain letter","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui ne contient pas une certaine lettre",,,,QuestionSummary_4_9,,,
,16,QuestionSummary,QuestionSummary_4_10,4,10,"In this unit, your child is struggling the most with choosing the sound that doesn't contain a certain letter","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qui ne contient pas une certaine lettre",,,,QuestionSummary_4_10,,,
,16,QuestionSummary,QuestionSummary_4_11,4,11,"In this unit, your child is struggling the most with choosing the option that starts with a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir l'option qui commence par un certain son",,,,QuestionSummary_4_11,,,
,16,QuestionSummary,QuestionSummary_4_12,4,12,"In this unit, your child is struggling the most with choosing the sound that a certain word starts with","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qu'un certain mot commence par",,,,QuestionSummary_4_12,,,
,16,QuestionSummary,QuestionSummary_4_13,4,13,"In this unit, your child is struggling the most with choosing the word that starts with a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui commence par un certain son",,,,QuestionSummary_4_13,,,
,16,QuestionSummary,QuestionSummary_4_14,4,14,"In this unit, your child is struggling the most with choosing the sound that a certain syllable starts with","Dans cette unité, votre enfant est en difficulté le plus à choisir le son d'une certaine syllabe commence par",,,,QuestionSummary_4_14,,,
,16,QuestionSummary,QuestionSummary_4_15,4,15,"In this unit, your child is struggling the most with choosing the word that ends in a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui se termine dans un certain son",,,,QuestionSummary_4_15,,,
,16,QuestionSummary,QuestionSummary_4_16,4,16,"In this unit, your child is struggling the most with choosing the sound that a certain word ends with","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qu'un certain mot se termine par",,,,QuestionSummary_4_16,,,
,16,QuestionSummary,QuestionSummary_4_17,4,17,"In this unit, your child is struggling the most with choosing the group of letters that ends with a certain sound","Dans cette unité, votre enfant est en difficulté le plus avec le choix du groupe de lettres qui se termine par un certain son",,,,QuestionSummary_4_17,,,
,16,QuestionSummary,QuestionSummary_4_18,4,18,"In this unit, your child is struggling the most with choosing the sound a certain group of letters ends with","Dans cette unité, votre enfant est en difficulté le plus à choisir le son d'un certain groupe de lettres se termine par",,,,QuestionSummary_4_18,,,
,16,QuestionSummary,QuestionSummary_5_2,5,2,"In this unit, your child is struggling the most with choosing the word that does not contain a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui ne contient pas un certain son",,,,QuestionSummary_5_2,,,
,16,QuestionSummary,QuestionSummary_6_1,6,1,"In this unit, your child is struggling the most with choosing the word that ends in a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui se termine dans un certain son",,,,QuestionSummary_6_1,,,
,16,QuestionSummary,QuestionSummary_6_2,6,2,"In this unit, your child is struggling the most with choosing the word that two letters make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot que deux lettres font quand ils sont combinés",,,,QuestionSummary_6_2,,,
,16,QuestionSummary,QuestionSummary_6_3,6,3,"In this unit, your child is struggling the most with choosing the sound that two letters make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le son que deux lettres font quand ils sont combinés",,,,QuestionSummary_6_3,,,
,16,QuestionSummary,QuestionSummary_6_4,6,4,"In this unit, your child is struggling the most with choosing the letters that make a particular sound","Dans cette unité, votre enfant est en difficulté le plus à choisir les lettres qui font un son particulier",,,,QuestionSummary_6_4,,,
,16,QuestionSummary,QuestionSummary_6_5,6,5,"In this unit, your child is struggling the most with choosing which sound a certain word ends with","Dans cette unité, votre enfant a du mal le plus avec le choix qui sonnent un certain mot se termine par",,,,QuestionSummary_6_5,,,
,16,QuestionSummary,QuestionSummary_6_6,6,6,"In this unit, your child is struggling the most with choosing which word a certain word rhymes with","Dans cette unité, votre enfant est en difficulté le plus à choisir quel mot un certain mot rime avec",,,,QuestionSummary_6_6,,,
,16,QuestionSummary,QuestionSummary_6_7,6,7,"In this unit, your child is struggling the most with choosing which pair of words rhymes","Dans cette unité, votre enfant a du mal le plus à choisir la paire de rimes mots",,,,QuestionSummary_6_7,,,
,16,QuestionSummary,QuestionSummary_6_8,6,8,"In this unit, your child is struggling the most with choosing which word a certain word rhymes with","Dans cette unité, votre enfant est en difficulté le plus à choisir quel mot un certain mot rime avec",,,,QuestionSummary_6_8,,,
,16,QuestionSummary,QuestionSummary_6_9,6,9,"In this unit, your child is struggling the most with choosing which word a certain word rhymes with","Dans cette unité, votre enfant est en difficulté le plus à choisir quel mot un certain mot rime avec",,,,QuestionSummary_6_9,,,
,16,QuestionSummary,QuestionSummary_7_1,7,1,"In this unit, your child is struggling the most with choosing the letters that make a given word","Dans cette unité, votre enfant est en difficulté le plus à choisir les lettres qui font un mot donné",,,,QuestionSummary_7_1,,,
,16,QuestionSummary,QuestionSummary_7_3,7,3,"In this unit, your child is struggling the most with choosing the word that two sounds make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot que deux sons font quand ils sont combinés",,,,QuestionSummary_7_3,,,
,16,QuestionSummary,QuestionSummary_7_4,7,4,"In this unit, your child is struggling the most with choosing the sound that two sounds make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le son que deux sons font quand ils sont combinés",,,,QuestionSummary_7_4,,,
,16,QuestionSummary,QuestionSummary_7_5,7,5,"In this unit, your child is struggling the most with choosing the word that corresponds with two letters","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui correspond à deux lettres",,,,QuestionSummary_7_5,,,
,16,QuestionSummary,QuestionSummary_7_6,7,6,"In this unit, your child is struggling the most with choosing the sound that corresponds with two letters","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qui correspond à deux lettres",,,,QuestionSummary_7_6,,,
,16,QuestionSummary,QuestionSummary_7_7,7,7,,,"I think this question type is deprecated for the spring study, but we should confirm",,,QuestionSummary_7_7,,,
,16,QuestionSummary,QuestionSummary_8_1,8,1,"In this unit, your child is struggling the most with choosing the letters that do not make a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir les lettres qui ne font pas un certain son",,,,QuestionSummary_8_1,,,
