Content Name (in Call Flow),ContentID,Message Text (English),Message Text (French)
LessonExplanation,LessonExplanation_1_7,"In this lesson.. you're going to learn about rhymes. Remember that rhymes have the same final sounds. You'll hear some pairs of words that rhyme.. and some pairs that don't rhyme. Then.. you'll choose the pair that rhymes.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Vous entendrez quelques paires de mots qui riment.. et quelques paires qui ne riment pas. Ensuite.. vous choisirez la paire qui rime."
LessonExplanation,LessonExplanation_2_8,"In this lesson.. you're going to learn about rhymes. Remember that rhymes have the same final sounds. You'll hear some pairs of syllables that rhyme.. and some pairs that don't rhyme. Then.. you'll choose the pair that rhymes.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Vous entendrez quelques paires de syllabes qui riment.. et quelques paires qui ne riment pas. Ensuite.. vous choisirez la paire qui rime."
LessonExplanation,LessonExplanation_3_1,"In this lesson.. you are going to hear some words. Two of them go together and one does not belong. Choose the word that does not belong with the others.","Dans cette leçon.. vous allez entendre quelques mots. Deux d'entre eux s'accordent bien et l'autre n'appartient pas. Choisissez le mot qui ne lui appartient pas avec les autres."
LessonExplanation,LessonExplanation_3_2,"In this lesson.. you are going to hear some syllables. Two of them go together and one does not belong. Choose the syllable that does not belong with the others.","Dans cette leçon.. vous allez entendre quelques syllabes. Deux d'entre eux s'accordent bien et l'autre n'appartient pas. Choisissez la syllabe qui n'appartient pas avec les autres."
LessonExplanation,LessonExplanation_3_3,"In this lesson.. you're going to hear a word and then we'll ask you what sound that word starts with.","Dans cette leçon.. vous allez entendre un mot.. puis nous vous demanderons avec quel son le mot commence."
LessonExplanation,LessonExplanation_3_4,"In this lesson.. you're going to hear a syllable and then we'll ask you what sound that syllable starts with.","Dans cette leçon.. vous allez entendre une syllabe.. puis nous vous demanderons avec quel son la syllabe commence."
LessonExplanation,LessonExplanation_3_5,"In this lesson.. you're going to hear a word and then we'll ask you what sound that word ends with.","Dans cette leçon.. vous allez entendre un mot.. puis nous vous demanderons avec quel son le mot se termine."
LessonExplanation,LessonExplanation_3_6,"In this lesson.. you're going to hear a syllable and then we'll ask you what sound that syllable ends with.","Dans cette leçon.. vous allez entendre une syllabe.. puis nous vous demanderons avec quel son la syllable se termine."
LessonExplanation,LessonExplanation_4_1,"In this lesson.. you'll hear a sound.. and then you'll receive an SMS with three words. We'll ask you which word in the SMS starts with the sound you heard.","Dans cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois mots. Nous vous demanderons quel mot dans le SMS commence par le son que vous avez entendu."
LessonExplanation,LessonExplanation_4_2,"In this lesson.. you'll receive an SMS with a letter. Then.. we'll ask you what sound that letter makes.","Dans cette leçon.. vous recevrez un SMS avec une lettre. Ensuite.. nous vous demanderons quel son la lettre fait."
LessonExplanation,LessonExplanation_4_3,"In this lesson.. you'll receive an SMS with two letters. Look at the letters.. and then we'll ask you what sound they make when they're combined.","Dans cette leçon.. vous recevrez un SMS avec deux lettres. Regardez les lettres.. et nous allons vous demander quel son ils font quand ils sont combinés."
LessonExplanation,LessonExplanation_4_6,"In this lesson.. you'll receive an SMS with three words. Then.. we'll play a word and ask you which word in the SMS is the word you heard us say.","Dans cette leçon.. vous recevrez un SMS avec trois mots. Ensuite.. nous allons jouer un mot et vous demander quel mot dans le SMS est le mot que vous avez entendu nous dire."
LessonExplanation,LessonExplanation_4_7,"In this lesson.. you'll hear a sound.. and then you'll receive an SMS with three letters. We'll ask you which letter in the SMS starts with the sound you heard.","Dans cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois lettres. Nous vous demanderons quelle lettre dans le SMS commence par le son que vous avez entendu. "
LessonExplanation,LessonExplanation_4_8,"In this lesson.. you'll receive an SMS with three syllables. Then.. we'll play a sound.. and you'll try to identify which syllable does not have that sound in it.","Dans cette leçon.. vous recevrez un SMS avec trois syllabes. Ensuite.. nous jouerons un son.. et vous essayerez d'identifier quelle syllabe n'a pas le son."
LessonExplanation,LessonExplanation_4_9,"In this lesson.. you'll receive an SMS with a single letter. Then.. we'll say three words. You will choose the word that does not contain the letter you received in the SMS. ","Dans cette leçon.. vous recevrez un SMS avec une seule lettre. Ensuite.. nous dirons trois mots. Vous choisirez le mot qui ne contient pas la lettre que vous avez reçue dans le SMS."
LessonExplanation,LessonExplanation_4_10,"In this lesson.. you'll receive an SMS with a single letter. Then.. we'll say three syllables. You will choose the syllable that does not contain the letter you received in the SMS. ","Dans cette leçon.. vous recevrez un SMS avec une seule lettre. Ensuite.. nous dirons trois syllabes. Vous choisirez la syllabe qui ne contient pas la lettre que vous avez reçue dans le SMS."
LessonExplanation,LessonExplanation_4_11,"For this lesson.. you'll hear a sound.. and then you'll receive an SMS with three syllables. We'll ask you which syllable in the SMS starts with the sound you heard.","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois syllabes. Nous vous demanderons quelle syllabe dans le SMS commence par le son que vous avez entendu."
LessonExplanation,LessonExplanation_4_12,"For this lesson.. we'll send you a word in an SMS and we'll ask you which sound the word starts with.","Pour cette leçon.. nous vous enverrons un mot dans un SMS et nous vous demanderons par quel son le mot commence."
LessonExplanation,LessonExplanation_4_13,"For this lesson.. you'll hear a sound.. and then you'll receive an SMS with three words. We'll ask you which word in the SMS starts with the sound you heard.","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois mots. Nous vous demanderons quel mot dans le SMS commence par le son que vous avez entendu."
LessonExplanation,LessonExplanation_4_14,"For this lesson.. we'll send you a syllable in an SMS and we'll ask you which sound the syllable starts with.","Pour cette leçon.. nous vous enverrons une syllabe dans un SMS et nous vous demanderons par quelle son la syllabe commence."
LessonExplanation,LessonExplanation_4_15,"For this lesson.. you'll hear a sound.. and then you'll receive an SMS with three words. We'll ask you which word in the SMS ends with the sound you heard.","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois mots. Nous vous demanderons quel mot dans le SMS se termine par le son que vous avez entendu."
LessonExplanation,LessonExplanation_4_16,"For this lesson.. we'll send you a word in an SMS and we'll ask you which sound the word ends with.","Pour cette leçon.. nous vous ferons parvenir un mot dans un SMS et nous vous demanderons par quel son le mot se termine."
LessonExplanation,LessonExplanation_4_17,"For this lesson.. you'll hear a sound.. and then you'll receive an SMS with three syllables. We'll ask you which syllable in the SMS ends with the sound you heard.","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois syllabes. Nous vous demanderons quelle syllabe dans le SMS se termine avec le son que vous avez entendu."
LessonExplanation,LessonExplanation_4_18,"For this lesson.. we'll send you a syllable in an SMS and we'll ask you which sound the syllable ends with.","Pour cette leçon.. nous vous ferons parvenir une syllabe dans un SMS et nous vous demanderons par quel son la syllabe se termine."
LessonExplanation,LessonExplanation_5_2,"For this lesson.. you'll hear a sound.. and then you'll receive an SMS with three words. We'll ask you which word in the SMS does NOT contain the sound you heard.","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois mots. Nous vous demanderons quel mot dans le SMS ne contient pas le son que vous avez entendu."
LessonExplanation,LessonExplanation_6_1,"For this lesson.. you'll hear a sound.. and then you'll receive an SMS with two words. We'll ask you which word in the SMS ends with the sound you heard.","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec deux mots. Nous vous demanderons quel mot dans le SMS se termine par le son que vous avez entendu."
LessonExplanation,LessonExplanation_6_2,"In this lesson.. you'll receive an SMS with two letters. Look at the letters.. and then we'll ask you what word they make when they're combined.","Dans cette leçon.. vous recevrez un SMS avec deux lettres. Regardez les lettres.. puis nous vous demanderons quel mot ils font quand ils sont combinés."
LessonExplanation,LessonExplanation_6_3,"In this lesson.. you'll receive an SMS with two letters. Look at the letters.. and then we'll ask you what sound they make when they're combined.","Dans cette leçon.. vous recevrez un SMS avec deux lettres. Regardez les lettres.. et nous vous demanderons quel bruit qu'ils font quand ils sont combinés."
LessonExplanation,LessonExplanation_6_4,"In this lesson.. you'll receive an SMS with three pairs of letters. Then.. we'll play a syllable and ask you which pair of letters in the SMS is the syllable you heard us say.","Dans cette leçon.. vous recevrez un SMS avec trois paires de lettres. Ensuite.. nous jouerons une syllabe et vous demanderons quelle paire de lettres dans le SMS est la syllabe que vous avez entendu nous disions."
LessonExplanation,LessonExplanation_6_5,"For this lesson.. you'll hear two sounds.. and then you'll receive a word in an SMS. We'll ask you which of the two sounds the word in the SMS ends with.","Pour cette leçon.. vous entendrez deux sons.. et vous recevrez un mot dans un SMS. Nous vous demanderons par lequel des deux sons le mot dans le SMS se termine."
LessonExplanation,LessonExplanation_6_6,"In this lesson.. you're going to learn about rhymes. Remember that rhymes have the same final sounds. We'll play two words.. and then send you a word in an SMS. Then we'll ask you which word the word in the SMS rhymes with.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Nous allons jouer deux mots.. puis vous envoyer un mot dans un SMS. Ensuite.. nous vous demandons quel mot le mot dans le SMS rime avec."
LessonExplanation,LessonExplanation_6_7,"In this lesson.. you're going to learn about rhymes. Remember that rhymes have the same final sounds. You'll receive an SMS with two pairs of words. Only one of those pairs rhymes. Respond with the number of the pair that rhymes.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Vous recevrez un SMS avec deux paires de mots. Une seule de ces paires rimes. Répondre avec le nombre de la paire qui rime."
LessonExplanation,LessonExplanation_6_8,"In this lesson.. you're going to learn about rhymes. Remember that rhymes have the same final sounds. You'll receive an SMS with a single word.. and you'll choose the word that rhymes with that one.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Vous recevrez un SMS avec un seul mot.. et vous choisissez le mot qui rime avec celui-là."
LessonExplanation,LessonExplanation_6_9,"In this lesson.. you're going to learn about rhymes. Remember that rhymes have the same final sounds. You'll hear a word and receive an SMS with two words. Read the words in the SMS and respond with the number of the word that rhymes with the one you heard.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Vous entendrez un mot et recevez un SMS avec les deux mots. Lire les mots du SMS et y répondre avec le nombre de mot qui rime avec celui que vous avez entendu."
LessonExplanation,LessonExplanation_7_1,"In this lesson.. you'll receive an SMS with three words.. with numbers in front of them. Then.. we'll play a word and ask you which word in the SMS is the word you heard us say.","Dans cette leçon.. vous recevrez un SMS avec trois mots.. avec des chiffres devant eux. Ensuite.. nous allons jouer un mot et vous demander quel mot dans le SMS est le mot que vous avez entendu nous dire."
LessonExplanation,LessonExplanation_7_3,"In this lesson.. you'll hear two sounds. Then.. you'll receive an SMS with two possible words. Look at the two words in the SMS and respond with which one is made by combining the two sounds you heard.","Dans cette leçon.. vous entendrez deux sons. Ensuite.. vous recevrez un SMS avec les deux mots possibles. Regardez les deux mots dans le SMS et répondre avec lequel on se fait en combinant les deux sons que vous avez entendu."
LessonExplanation,LessonExplanation_7_4,"In this lesson.. you'll hear two sounds. Then.. you'll receive an SMS with two possible syllables. Look at the two syllables in the SMS and respond with which one is made by combining the two sounds you heard.","Dans cette leçon.. vous entendrez deux sons. Ensuite.. vous recevrez un SMS avec deux syllabes possibles. Regardez les deux syllabes dans le SMS et répondre avec lequel on se fait en combinant les deux sons que vous avez entendu."
LessonExplanation,LessonExplanation_7_5,"In this lesson.. you'll receive an SMS with two letters that make a word when they're combined. Then.. you'll hear a few possible words that might be made from combining those letters.. but only one is correct. Respond with which word those letters make when they're combined.","Dans cette leçon.. vous recevrez un SMS avec les deux lettres qui font un mot quand ils sont combinés. Ensuite.. vous entendrez quelques mots possibles qui pourraient être fabriqués à partir de la combinaison de ces lettres.. mais un seul est correct. Répondre avec quel mot ces lettres font quand ils sont combinés."
LessonExplanation,LessonExplanation_7_6,"In this lesson.. you'll receive an SMS with two letters that make a syllable when they're combined. Then.. you'll hear a few possible syllables that might be made from combining those letters.. but only one is correct. Respond with which syllable those letters make when they're combined.","Dans cette leçon.. vous recevrez un SMS avec les deux lettres qui font une syllabe quand ils sont combinés. Ensuite.. vous entendrez quelques syllabes possibles qui pourraient être faites à partir de la combinaison de ces lettres.. mais un seul est correct. Répondre avec quelle syllabe ces lettres font quand ils sont combinés."
LessonExplanation,LessonExplanation_8_1,"For this lesson.. we'll send you an SMS with three groups of letters.. and then you'll hear a sound. We'll ask you to respond with which letters do NOT make that sound.","Pour cette leçon.. nous vous enverrons un SMS avec trois groupes de lettres.. et vous entendrez un son. Nous vous demandons de répondre avec laquelle les lettres ne font pas que le son."
LessonExplanation,LessonExplanation_8_2,"In this lesson.. you'll hear two sounds. Then.. you'll receive an SMS with two possible words. Look at the two words in the SMS and respond with which one is made by combining the two sounds you heard.","Dans cette leçon.. vous entendrez deux sons. Ensuite.. vous recevrez un SMS avec les deux mots possibles. Regardez les deux mots dans le SMS et répondre avec lequel on se fait en combinant les deux sons que vous avez entendu."
LessonExplanation,LessonExplanation_8_3,"In this lesson.. you'll receive an SMS with three words. Then.. we'll play a word and ask you which word in the SMS is the word you heard us say.","Dans cette leçon.. vous recevrez un SMS avec trois mots. Ensuite.. nous allons jouer un mot et vous demander quel mot dans le SMS est le mot que vous avez entendu nous dire."
ResponseExplanation,ResponseExplanation_1_1,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond a la bonne réponse."
ResponseExplanation,ResponseExplanation_2_2,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond a la bonne réponse."
ResponseExplanation,ResponseExplanation_1_3,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond a la bonne réponse."
ResponseExplanation,ResponseExplanation_2_4,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_1_5,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_2_6,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_1_7,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_2_8,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_3_1,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_3_2,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_3_3,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_3_4,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_3_5,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_3_6,"When you hear the answers.. press the number that goes with the right answer.","Lorsque vous entendez les réponses.. appuyez sur le numéro qui correspond à la bonne réponse."
ResponseExplanation,ResponseExplanation_4_1,"After you read the SMS with the answer options.. press the button on the right to go back to the call screen and press the number of the right answer","Après avoir lu le SMS avec les options de réponse.. appuyez sur le bouton au droit pour revenir à l'écran d'appel et appuyez sur le numéro de la bonne réponse"
ResponseExplanation,ResponseExplanation_4_2,"After you read the SMS with the answer options.. press the .... button on the right to go back to the call screen and press the number of the right answer","Après avoir lu le SMS avec les options de réponse.. appuyez sur le bouton au droit pour revenir à l'écran d'appel et appuyez sur le numéro de la bonne réponse"
ResponseExplanation,ResponseExplanation_4_3,"After you read the SMS with the answer options.. press the .... button on the right to go back to the call screen and press the number of the right answer","Après avoir lu le SMS avec les options de réponse.. appuyez sur le bouton au droit pour revenir à l'écran d'appel et appuyez sur le numéro de la bonne réponse"
ResponseExplanation,ResponseExplanation_4_6,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Dans cette leçon.. vous recevrez un SMS avec trois mots. Ensuite.. nous allons jouer un mot et vous demander quel mot dans le SMS est le mot que vous avez entendu nous dire."
ResponseExplanation,ResponseExplanation_4_7,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Dans cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois lettres. Nous vous demanderons quelle lettre dans le SMS commence par le son que vous avez entendu. "
ResponseExplanation,ResponseExplanation_4_8,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Dans cette leçon.. vous recevrez un SMS avec trois syllabes. Ensuite.. nous jouerons un son.. et vous essayerez d'identifier quelle syllabe n'a pas le son."
ResponseExplanation,ResponseExplanation_4_9,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Dans cette leçon.. vous recevrez un SMS avec une seule lettre. Ensuite.. nous dirons trois mots. Vous choisirez le mot qui ne contient pas la lettre que vous avez reçue dans le SMS."
ResponseExplanation,ResponseExplanation_4_10,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Dans cette leçon.. vous recevrez un SMS avec une seule lettre. Ensuite.. nous dirons trois syllabes. Vous choisirez la syllabe qui ne contient pas la lettre que vous avez reçue dans le SMS."
ResponseExplanation,ResponseExplanation_4_11,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois syllabes. Nous vous demanderons quelle syllabe dans le SMS commence par le son que vous avez entendu."
ResponseExplanation,ResponseExplanation_4_12,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. nous vous enverrons un mot dans un SMS et nous vous demanderons par quel son le mot commence."
ResponseExplanation,ResponseExplanation_4_13,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois mots. Nous vous demanderons quel mot dans le SMS commence par le son que vous avez entendu."
ResponseExplanation,ResponseExplanation_4_14,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. nous vous enverrons une syllabe dans un SMS et nous vous demanderons par quelle son la syllabe commence."
ResponseExplanation,ResponseExplanation_4_15,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois mots. Nous vous demanderons quel mot dans le SMS se termine par le son que vous avez entendu."
ResponseExplanation,ResponseExplanation_4_16,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. nous vous ferons parvenir un mot dans un SMS et nous vous demanderons par quel son le mot se termine."
ResponseExplanation,ResponseExplanation_4_17,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois syllabes. Nous vous demanderons quelle syllabe dans le SMS se termine avec le son que vous avez entendu."
ResponseExplanation,ResponseExplanation_4_18,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. nous vous ferons parvenir une syllabe dans un SMS et nous vous demanderons par quel son la syllabe se termine."
ResponseExplanation,ResponseExplanation_5_2,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec trois mots. Nous vous demanderons quel mot dans le SMS ne contient pas le son que vous avez entendu."
ResponseExplanation,ResponseExplanation_6_1,"After you have opened the SMS message.. press the middle button to start your reply. Type your answer.. then press the middle button again to send your message","Pour cette leçon.. vous entendrez un son.. et vous recevrez un SMS avec deux mots. Nous vous demanderons quel mot dans le SMS se termine par le son que vous avez entendu."
ResponseExplanation,ResponseExplanation_6_2,"After you read the SMS with the answer options.. press the button on the right to go back to the call screen and press the number of the right answer","Après avoir lu le SMS avec les options de réponse.. appuyez sur le bouton sur le droit de revenir à l'écran d'appel et appuyez sur le numéro de la bonne réponse"
ResponseExplanation,ResponseExplanation_6_3,"In this lesson.. you will receive an SMS with two letters. Look at the letters.. and we will ask you what sound they make when they are combined.","Dans cette leçon.. vous recevrez un SMS avec deux lettres. Regardez les lettres.. et nous vous demanderons quel bruit qu'ils font quand ils sont combinés."
ResponseExplanation,ResponseExplanation_6_4,"In this lesson.. you will receive an SMS with three pairs of letters. Then we'll say a syllable and we will ask you which pair of letters in the SMS is the syllable you heard us say.","Dans cette leçon.. vous recevrez un SMS avec trois paires de lettres. Ensuite.. nous jouerons une syllabe et vous demanderons quelle paire de lettres dans le SMS est la syllabe que vous avez entendu nous disions."
ResponseExplanation,ResponseExplanation_6_5,"For this lesson.. you will hear two sounds.. and you will receive a word in a text message. We will ask you which of the two sounds the word in the SMS ends with.","Pour cette leçon.. vous entendrez deux sons.. et vous recevrez un mot dans un SMS. Nous vous demanderons par lequel des deux sons le mot dans le SMS se termine."
ResponseExplanation,ResponseExplanation_6_6,"In this lesson.. you'll learn about rhymes. Remember that rhymes have the same final sound. We will play two words.. then send you a word in a text message. Then we will ask you which word rhymes with the word in the SMS.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Nous allons jouer deux mots.. puis vous envoyer un mot dans un SMS. Ensuite.. nous vous demandons quel mot le mot dans le SMS rime avec."
ResponseExplanation,ResponseExplanation_6_7,"In this lesson.. you'll learn about rhymes. Remember that rhymes have the same final sound. You will receive an SMS with two pairs of words. One of these pairs rhyme. Reply with the number of the pair that rhymes.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Vous recevrez un SMS avec deux paires de mots. Une seule de ces paires rimes. Répondre avec le nombre de la paire qui rime."
ResponseExplanation,ResponseExplanation_6_8,"In this lesson.. you'll learn about rhymes. Remember that rhymes have the same final sound. You will receive an SMS with a word.. and you will pick the word that rhymes with that.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Vous recevrez un SMS avec un seul mot.. et vous choisissez le mot qui rime avec celui-là."
ResponseExplanation,ResponseExplanation_6_9,"In this lesson.. you'll learn about rhymes. Remember that rhymes have the same final sound. You will hear a word and receive an SMS with two words. Read the words of the SMS and reply with the number of the word that rhymes with the one you heard.","Dans cette leçon.. vous allez en apprendre davantage sur les rimes. Rappelez-vous que les rimes ont les mêmes sons finaux. Vous entendrez un mot et recevez un SMS avec les deux mots. Lire les mots du SMS et y répondre avec le nombre de mot qui rime avec celui que vous avez entendu."
ResponseExplanation,ResponseExplanation_7_1,"In this lesson.. you will receive an SMS with three words with numbers in front of them. Then we'll play a word and ask which word in the SMS is the word you have heard us say.","Dans cette leçon.. vous recevrez un SMS avec trois mots.. avec des chiffres devant eux. Ensuite.. nous allons jouer un mot et vous demander quel mot dans le SMS est le mot que vous avez entendu nous dire."
ResponseExplanation,ResponseExplanation_7_2,NA,NA
ResponseExplanation,ResponseExplanation_7_3,"In this lesson.. you will hear two sounds. Then you receive an SMS with the two possible words. Look at the two words in the SMS and reply with which one is made by combining the two sounds you heard.","Dans cette leçon.. vous entendrez deux sons. Ensuite.. vous recevrez un SMS avec les deux mots possibles. Regardez les deux mots dans le SMS et répondre avec lequel on se fait en combinant les deux sons que vous avez entendu."
